Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING APRIL 2017 TO JUNE, 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,BEL-THALES SYSTEMS LIMITED,France,Thales Systems SAS,BANGALORE,"Manufacture of radar equipment, GPS
devices, search, detection, navigation, aeronautical and nautical",17.61,0.27,
2,LOUIS VUITTON INDIA HOLDING PVT LTD,France,LOUIS VUITTON FASHION INDIA PRIVATE LIMI,BANGALORE,Activities of holding companies,0.00,0.00,
3,LOUIS VUITTON INDIA HOLDING PVT LTD,France,LOUIS VUITTON MALLETIER,BANGALORE,Activities of holding companies,425.00,6.59,
4,LE CREUSET INDIA TRADING P LTD,France,Le Creuset SAS,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",9.95,0.15,
5,LE CREUSET INDIA TRADING P LTD,France,Le Creuset SAS,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",12.50,0.19,
6,BHARTI AXA GENERAL INSURANCE COMPANY LTD,France,SOCIETE BEAUJON,BANGALORE,Non-life insurance,245.00,3.80,
7,ROBERT BOSCH AUTOMOTIVE STEERING PVT LTD,Germany,ROBERT BOSCH AUTOMOTIVE STEERING GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",148.00,2.30,
8,BIZERBA INDIA PVT. LTD.,Germany,BIZERBA SE & CO.KG,MUMBAI,Manufacture of weighing machinery (other than sensitive laboratory balances),73.31,1.14,
9,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GESELLSCHAFT MIT BESCHRAENKTER HAF,NEW DELHI,Publishing of journals and periodicals,72.28,1.12,
10,WACOAL INDIA PVT LTD,HongKong,WACOAL INTERNATIONAL HONGKONG CO.LTD,MUMBAI,"Retail sale of readymade garments, hosiery
goods, other articles of clothing and clothing accessories",15.30,0.24,
11,UT STARCOM INDIA TELECOM PVT LTD,HongKong,UTStarcom Hongkong Ltd,NEW DELHI,Other telecommunications activities,6.52,0.10,
12,UT STARCOM INDIA TELECOM PVT LTD,HongKong,UT Starcom Hongkong Limited,NEW DELHI,Other telecommunications activities,8.77,0.14,
13,UT STARCOM INDIA TELECOM PVT LTD,HongKong,UT Starcom Hongkong Limited,NEW DELHI,Other telecommunications activities,0.40,0.01,
14,UT STARCOM INDIA TELECOM PVT LTD,HongKong,UTSTARCOM HONGKONG LTD.,NEW DELHI,Other telecommunications activities,190.73,2.96,
15,RYOHIN-KEIKAKU RELIANCE INDIA PVT LTD,Japan,RYOHIN KEIKAKU CO LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",30.60,0.47,
16,MHI-VST DIESEL ENGINES PVT LTD,Japan,Mitsubishi Heavy Industries Ltd,BANGALORE,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",880.00,13.66,
17,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembourg,GREEN ENERGY EFFICIENCY AND RENEWABLE EN,NEW DELHI,Activities of holding companies,75.68,1.17,
18,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,144.07,2.24,
